-11,76%
-1,15%
6,82%
-5,38%
17,15%
-16,61%
-10,16%
-5,32%
-4,41%
21,53%
30,09%
-3,41%
-11,76%
-10,08%
3,80%
-8,10%
-2,41%
-8,76%
1,89%
-13,82%
11,41%
-10,36%
-9,68%
-2,46%
-2,75%
0,24%
-5,63%
2,57%
-7,60%
-1,84%
-7,40%
-2,79%
-4,36%
-9,11%
-2,96%
8,45%
-2,38%
-0,78%
27,82%
-11,36%
2,37%
-10,40%
0,65%
10,04%
5,83%
21,01%
0,99%
-9,61%
8,47%
-12,94%
3,17%
16,37%
-14,51%
0,94%
7,72%
-3,15%
2,36%
-6,76%
-1,53%
12,47%
16,24%
-0,60%
-1,73%
-8,95%
27,40%
-14,55%
-9,10%
4,29%
18,83%
-9,65%
26,95%
9,85%
1,54%
13,10%
6,08%
-0,99%
-5,43%
-11,58%
-1,43%
-5,24%
-4,40%
3,42%
-3,78%
15,16%
10,36%
-5,41%
-4,29%
0,19%
-7,70%
0,56%
-0,15%
4,68%
3,51%
0,56%
10,58%
5,43%
-6,77%
0,04%
-7,18%
-5,58%
8,48%
-0,80%
2,97%
-1,44%
14,20%
-5,67%
3,79%
8,14%
1,43%
19,15%
-22,60%
5,61%
-0,48%
12,70%
-7,65%
1,83%
-8,07%
-13,38%
0,97%
-1,80%
6,11%
-7,95%
5,76%
-0,65%
19,48%
-14,63%
8,99%
-5,44%
5,71%
6,03%
4,61%
-4,09%
-3,13%
-2,01%
5,50%
-0,70%
-0,70%
22,31%
7,37%
0,28%
3,54%
11,14%
-1,23%
19,68%
1,79%
10,99%
-2,78%
13,33%
-11,61%
0,28%
-9,72%
20,68%
-20,82%
-0,85%
3,02%
-2,97%
-5,20%
-5,53%
-10,19%
-2,47%
-9,72%
5,88%
2,53%
-5,65%
5,44%
-10,86%
-8,12%
1,20%
2,19%
-2,93%
-3,86%
-1,60%
-5,85%
-5,55%
-1,17%
-5,48%
1,43%
-7,30%
4,60%
0,41%
13,10%
43,61%
-1,06%
14,14%
-12,58%
-2,54%
12,75%
0,36%
-1,23%
-2,77%
-0,72%
-10,74%
-2,82%
-15,53%
-2,82%
2,75%
-7,62%
3,57%
-4,13%
-3,75%
0,66%
-0,33%
-3,35%
8,38%
-8,17%
-3,18%
13,14%
-5,18%
0,58%
18,55%
1,46%
-0,21%
3,87%
8,31%
-10,14%
-7,08%
9,12%
-5,92%
-1,00%
-5,92%
-1,30%
-4,10%
12,25%
-7,97%
-0,08%
-2,30%
0,96%
-0,08%
-3,45%
-0,66%
-2,40%
2,12%
2,53%
-9,86%
-1,43%
-10,74%
4,43%
10,00%
-8,39%
-1,36%
3,98%
